Name,Address,Phone,Fax,LHD
Tottenham Residential Aged Care,"Umang Street, Tottenham NSW 2873",02 6892 4003,,Western NSW Local Health District
Trangie Multi-Purpose Health Service,"28 Harris Street, Trangie NSW 2823",02 6880 8200,02 6888 7605,Western NSW Local Health District
Trangie Residential Aged Care,"29 Harris Street, Trangie NSW 2823",02 6888 7546,,Western NSW Local Health District
Trundle Multi-Purpose Service,"Brookview Street, Trundle NSW 2875",02 6892 1051,02 6892 1233,Western NSW Local Health District
Trundle Residential Aged Care,"Brookview Street, Trundle NSW 2875",02 6892 1051,,Western NSW Local Health District
Tullamore Health Service,"1 Hinkler Street, Tullamore NSW 2874",02 6892 5003,02 6892 5166,Western NSW Local Health District
Tullamore Residential Aged Care,"1 Hinkler Street, Tullamore NSW 2874",02 6892 5003,,Western NSW Local Health District
Tumbarumba Multi Purpose Service,"Mitchell Street, Tumbarumba NSW 2653",02 6948 9600,02 6948 2263,Murrumbidgee Local Health District
Tumbarumba Residential Aged Care,"4 Mitchell Street, Tumbarumba NSW 2653",02 6948 9600,,Murrumbidgee Local Health District
Tumut District Hospital,"Simpson Street, Tumut NSW 2720",02 6947 0800,02 6947 3074,Murrumbidgee Local Health District
Urana Health Service,"Cnr Church and Princess St, Urana NSW 2645",02 6920 8106,02 6920 8263,Murrumbidgee Local Health District
Urana Residential Aged Care,"Corner of Church and Princess St, Urana NSW 2645",02 6920 8106,,Murrumbidgee Local Health District
Urbenville Health Service,"45 Beaury Street, Urbenville NSW 2475",02 6948 1319,02 6634 1311,Northern NSW Local Health District
Urbenville Residential Aged Care,"45 Beaury Street, Urbenville NSW 2475",02 6948 1319,,Northern NSW Local Health District
Vegetable Creek Hospital,"13-33 Glen Innes Road, Emmaville NSW 2371",02 6734 7900,02 6734 7990,Hunter New England Local Health District
Wagga Wagga Base Hospital,"Docker Street, Wagga Wagga NSW 2650",02 5943 1000,02 6921 5632,Murrumbidgee Local Health District
Walcha Multi Purpose Service,"11 South Middle Street, Walcha NSW 2354",02 6774 2366,02 6777 1458,Hunter New England Local Health District
Walcha Residential Aged Care,"South Street, Walcha NSW 2354",02 6774 2400,,Hunter New England Local Health District
Walgett Health Service,"141 Fox Street, Walgett NSW 2832",02 6828 6000,02 6828 2194,Western NSW Local Health District
Wallsend Aged Care Facility,"15 Nash Street, Wallsend NSW 2287",02 4924 6100,,Hunter New England Local Health District
War Memorial Hospital,"125 Birrell Street, Waverley NSW 2024",02 9369 0100,02 9387 7018,South Eastern Sydney Local Health District
Warialda Multi Purpose Service,"Long Street, Warialda NSW 2402",02 6728 9000,02 6729 1208,Hunter New England Local Health District
Warren Multi-Purpose Health Service,"Dr Kater Drive, Warren NSW 2824",02 6847 7200,02 6847 3099,Western NSW Local Health District
Warren Residential Aged Care,"Dr Kater Drive, Warren NSW 2824",02 6847 7200,,Western NSW Local Health District
Wauchope District Memorial Hospital,"69 High Street, Wauchope NSW 2446",02 6585 1300,02 6585 3741,Mid North Coast Local Health District
Wee Waa Community Hospital,"Alma Street, Wee Waa NSW 2388",02 6795 0400,02 6795 4905,Hunter New England Local Health District
Wellington Health Service,"Gisborne Street, Wellington NSW 2820",02 6840 7200,02 6845 2100,Western NSW Local Health District
Wentworth District Hospital,"Silver City Hwy, Wentworth NSW 2648",03 5027 2345,03 5027 3099,Far West Local Health District
Werris Creek Community Hospital,"North Street, Werris Creek NSW 2341",02 6768 6600,02 6768 7775,Hunter New England Local Health District
Westmead Hospital,"Cnr Hawkesbury & Darcy Road, Westmead NSW 2145",02 8890 5555,02 9845 5000,Western Sydney Local Health District
Wilcannia Multi-Purpose Service,"14 Ross Street, Wilcannia NSW 2836",08 8083 8777,08 8091 5839,Far West Local Health District
Wilcannia Residential Age Care,"Ross Street, Wilcannia NSW 2836",08 8083 8777,,Far West Local Health District
"Wilson Memorial Community Hospital, Murrurundi","Cnr O'Connell & Paradise Rd, Murrurundi NSW 2338",02 6546 9000,02 6546 9005,Hunter New England Local Health District
Wingham Community Hospital,"32 Bungay Road, Wingham NSW 2429",02 6557 3400,02 6553 0045,Hunter New England Local Health District
Wollongong Hospital,"Loftus Street, Wollongong NSW 2500",02 4222 5000,02 4222 5313,Illawarra Shoalhaven Local Health District
Woy Woy Public Hospital,"Ocean Beach Road, Woy Woy NSW 2256",02 4344 8444,02 4344 8555,Central Coast Local Health District
Wyalong Hospital,"70 Ungarie Road, West Wyalong NSW 2671",02 6979 0000,02 6979 0006,Murrumbidgee Local Health District
Wyong Public Hospital,"Pacific Highway, Kanwal NSW 2259",02 4394 8000,02 4393 8333,Central Coast Local Health District
Yass District Hospital,"Meehan Street, Yass NSW 2582",(02) 6220 2000,02 6226 2944,Southern NSW Local Health District
Young District Hospital,"Allanan Street, Young NSW 2594",02 6382 8888,02 6382 4398,Murrumbidgee Local Health District
